Designator,Mid X,Mid Y,Rotation,Layer
C1,167.1836,-123.4948,0.0,top
C2,166.9561,-126.0348,0.0,top
D1,63.5,-40.2011,90.0,bottom
D10,242.1128,-40.2082,90.0,bottom
D11,65.8551,-58.8353,90.0,bottom
D12,87.122,-58.944,90.0,bottom
D13,106.299,-59.2511,90.0,bottom
D14,125.349,-59.2511,90.0,bottom
D15,144.399,-59.2511,90.0,bottom
D16,163.449,-59.2511,90.0,bottom
D17,182.499,-58.8861,90.0,bottom
D18,201.549,-59.2511,90.0,bottom
D19,220.599,-58.8861,90.0,bottom
D2,82.55,-39.878,90.0,bottom
D20,244.44045,-58.8861,90.0,bottom
D21,70.5866,-78.2574,90.0,bottom
D22,96.7994,-77.8924,90.0,bottom
D23,115.8494,-77.8924,90.0,bottom
D24,134.874,-78.232,90.0,bottom
D25,153.9494,-78.2574,90.0,bottom
D26,173.0502,-78.2574,90.0,bottom
D27,192.0805,-77.9874,90.0,bottom
D28,211.1502,-78.2574,90.0,bottom
D29,230.2002,-77.9874,90.0,bottom
D3,101.6,-39.9311,90.0,bottom
D30,249.2502,-78.2574,90.0,bottom
D31,65.786,-97.028,90.0,bottom
D32,87.249,-96.9424,90.0,bottom
D33,106.299,-97.028,90.0,bottom
D34,134.9502,-97.028,90.0,bottom
D36,156.21,-97.028,90.0,bottom
D37,175.26,-97.028,90.0,bottom
D38,206.248,-97.028,90.0,bottom
D39,225.3488,-96.9861,90.0,bottom
D4,120.65,-39.8361,90.0,bottom
D40,246.7356,-96.774,90.0,bottom
D5,139.7,-39.878,90.0,bottom
D6,158.75,-40.2011,90.0,bottom
D7,177.8,-39.9311,90.0,bottom
D8,196.85,-39.8361,90.0,bottom
D9,215.9,-40.2011,90.0,bottom
U1,139.294364,-130.461564,0.0,top
