Designator,Mid X,Mid Y,Rotation,Layer
AE1,173.482,-140.716,0.0,top
C1,154.686,-134.366,270.0,top
C10,156.36575,-121.7665,90.0,top
C11,127.254,-134.366,270.0,top
C12,159.258,-138.938,0.0,top
C13,157.988,-143.002,0.0,top
C14,163.2215,-138.206,0.0,top
C15,163.2215,-140.716,0.0,top
C16,151.384,-136.906,90.0,top
C2,156.972,-124.714,0.0,top
C3,159.766,-128.076,0.0,top
C4,159.766,-130.586,0.0,top
C5,159.766,-133.096,0.0,top
C6,163.068,-121.412,0.0,top
C7,169.9045,-131.826,0.0,top
C8,150.77775,-121.7665,90.0,top
C9,153.31775,-121.745,90.0,top
D1,131.826,-139.954,180.0,top
J1,135.893764,-131.277764,0.0,top
R3,125.6295,-138.684,0.0,top
R4,157.1505,-135.89,0.0,top
R5,157.1505,-137.414,0.0,top
U2,154.686,-128.778,0.0,top
U3,169.412,-125.182,270.0,top
U5,135.89,-127.762,0.0,top
U6,155.194,-140.208,90.0,top
