Designator,Footprint,Quantity,Value,LCSC Part #
AE1,LPRS_SMA_CONNECTOR,1,Antenna,C1509213
"C1, C6, C9",0805,3,10uF,C2835555
"C10, C2, C3",0603,3,0.1uF,
C11,0603,1,1nF,C163168
"C12, C13, C14, C15, C16, C5, C8",0603,7,100nF,C125205
C4,0603,1,10uF,C2835555
C7,0805,1,22uF,C6870403
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C22461793
R3,0201,1,220Ω,C5357160
"R4, R5",0201,2,4.7kΩ,C2763761
U1,VSDSquadron_FM,1,VSDSquadron FM,
U2,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6000,C92401
U3,TO-252-2,1,NCP1117-3.3_TO252,C897497
U5,ublox_NEO,1,NEO-M8N,C6330769
U6,DFN-10-1EP_3x3mm_P0.5mm_EP1.7x2.5mm,1,MAG3110,C2890547
